bug_id,taiga_issue_id,taiga_ref,url,timestamp
BUG-20260915-01,2370398,1498,https://tree.taiga.io/project/douglasmorpheus-spms-ccm/issue/1498,2026-09-16T23:04:29.321329+00:00
BUG-20260915-02,2370403,1499,https://tree.taiga.io/project/douglasmorpheus-spms-ccm/issue/1499,2026-09-16T23:14:01.723516+00:00
BUG-20260915-03,2370404,1500,https://tree.taiga.io/project/douglasmorpheus-spms-ccm/issue/1500,2026-09-16T23:14:02.076278+00:00
BUG-20260915-04,2370405,1501,https://tree.taiga.io/project/douglasmorpheus-spms-ccm/issue/1501,2026-09-16T23:14:02.445353+00:00
BUG-20260915-05,2370406,1502,https://tree.taiga.io/project/douglasmorpheus-spms-ccm/issue/1502,2026-09-16T23:14:02.821024+00:00
BUG-20260915-06,2370407,1503,https://tree.taiga.io/project/douglasmorpheus-spms-ccm/issue/1503,2026-09-16T23:14:03.191443+00:00
BUG-20260915-07,2370408,1504,https://tree.taiga.io/project/douglasmorpheus-spms-ccm/issue/1504,2026-09-16T23:14:03.545830+00:00
BUG-20260915-08,2370409,1505,https://tree.taiga.io/project/douglasmorpheus-spms-ccm/issue/1505,2026-09-16T23:14:03.929698+00:00
BUG-20260915-09,2370410,1506,https://tree.taiga.io/project/douglasmorpheus-spms-ccm/issue/1506,2026-09-16T23:14:04.293281+00:00
BUG-20260915-10,2370411,1507,https://tree.taiga.io/project/douglasmorpheus-spms-ccm/issue/1507,2026-09-16T23:14:04.658590+00:00
BUG-20260915-11,2370412,1508,https://tree.taiga.io/project/douglasmorpheus-spms-ccm/issue/1508,2026-09-16T23:14:05.034042+00:00
BUG-20260915-12,2370413,1509,https://tree.taiga.io/project/douglasmorpheus-spms-ccm/issue/1509,2026-09-16T23:14:05.398537+00:00
BUG-20260915-13,2370414,1510,https://tree.taiga.io/project/douglasmorpheus-spms-ccm/issue/1510,2026-09-16T23:14:05.781635+00:00
BUG-20260915-14,2370415,1511,https://tree.taiga.io/project/douglasmorpheus-spms-ccm/issue/1511,2026-09-16T23:14:06.152443+00:00
BUG-20260915-15,2370416,1512,https://tree.taiga.io/project/douglasmorpheus-spms-ccm/issue/1512,2026-09-16T23:14:06.528994+00:00
BUG-20260915-16,2370417,1513,https://tree.taiga.io/project/douglasmorpheus-spms-ccm/issue/1513,2026-09-16T23:14:06.927953+00:00
BUG-20260915-17,2370418,1514,https://tree.taiga.io/project/douglasmorpheus-spms-ccm/issue/1514,2026-09-16T23:14:07.292257+00:00
BUG-20260915-18,2370419,1515,https://tree.taiga.io/project/douglasmorpheus-spms-ccm/issue/1515,2026-09-16T23:14:07.674403+00:00
BUG-20260915-19,2370420,1516,https://tree.taiga.io/project/douglasmorpheus-spms-ccm/issue/1516,2026-09-16T23:14:08.038806+00:00
BUG-20260915-20,2370421,1517,https://tree.taiga.io/project/douglasmorpheus-spms-ccm/issue/1517,2026-09-16T23:14:08.397320+00:00
BUG-20260915-21,2370422,1518,https://tree.taiga.io/project/douglasmorpheus-spms-ccm/issue/1518,2026-09-16T23:14:08.789812+00:00
BUG-20260915-22,2370423,1519,https://tree.taiga.io/project/douglasmorpheus-spms-ccm/issue/1519,2026-09-16T23:14:09.183197+00:00
BUG-20260915-23,2370424,1520,https://tree.taiga.io/project/douglasmorpheus-spms-ccm/issue/1520,2026-09-16T23:14:09.558926+00:00
BUG-20260915-24,2370425,1521,https://tree.taiga.io/project/douglasmorpheus-spms-ccm/issue/1521,2026-09-16T23:14:09.924412+00:00
BUG-20260915-25,2370426,1522,https://tree.taiga.io/project/douglasmorpheus-spms-ccm/issue/1522,2026-09-16T23:14:10.800083+00:00
BUG-20260915-26,2370427,1523,https://tree.taiga.io/project/douglasmorpheus-spms-ccm/issue/1523,2026-09-16T23:14:11.193814+00:00
BUG-20260915-27,2370428,1524,https://tree.taiga.io/project/douglasmorpheus-spms-ccm/issue/1524,2026-09-16T23:14:11.552411+00:00
BUG-20260915-28,2370429,1525,https://tree.taiga.io/project/douglasmorpheus-spms-ccm/issue/1525,2026-09-16T23:14:11.929894+00:00
BUG-20260915-29,2370430,1526,https://tree.taiga.io/project/douglasmorpheus-spms-ccm/issue/1526,2026-09-16T23:14:12.397203+00:00
BUG-20260915-30,2370431,1527,https://tree.taiga.io/project/douglasmorpheus-spms-ccm/issue/1527,2026-09-16T23:14:12.914409+00:00
BUG-20260915-31,2370432,1528,https://tree.taiga.io/project/douglasmorpheus-spms-ccm/issue/1528,2026-09-16T23:14:13.312787+00:00
BUG-20260915-32,2370433,1529,https://tree.taiga.io/project/douglasmorpheus-spms-ccm/issue/1529,2026-09-16T23:14:13.717237+00:00
